,objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber
0,1,False,1979.486.1,1979,False,,,[],"[{'constituentID': 164292, 'role': 'Maker', 'name': 'James Barton Longacre', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500011409', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q3806459', 'gender': ''}]",The American Wing,Coin,One-dollar Liberty Head Coin,,,,,,Maker,,James Barton Longacre,"American, Delaware County, Pennsylvania 1794â€“1869 Philadelphia, Pennsylvania",,"Longacre, James Barton",American,1794,1869,,https://www.wikidata.org/wiki/Q3806459,http://vocab.getty.edu/page/ulan/500011409,1853,1853,1853,Gold,Dimensions unavailable,,"Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/1,,,False,
1,2,False,1980.264.5,1980,False,,,[],"[{'constituentID': 1079, 'role': 'Maker', 'name': 'Christian Gobrecht', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500077295', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q5109648', 'gender': ''}]",The American Wing,Coin,Ten-dollar Liberty Head Coin,,,,,,Maker,,Christian Gobrecht,1785â€“1844,,"Gobrecht, Christian",,1785,1844,,https://www.wikidata.org/wiki/Q5109648,http://vocab.getty.edu/page/ulan/500077295,1901,1901,1901,Gold,Dimensions unavailable,,"Gift of Heinz L. Stoppelmann, 1980",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/2,,,False,
2,3,False,67.265.9,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/3,,,False,
3,4,False,67.265.10,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/4,,,False,
4,5,False,67.265.11,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/5,,,False,
5,6,False,67.265.12,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/6,,,False,
6,7,False,67.265.13,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/7,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Coins', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300037222', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q41207'}]",,False,
7,8,False,67.265.14,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/8,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Profiles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300123319', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q4382010'}, {'term': 'Eagles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250049', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2092297'}]",,False,
8,9,False,67.265.15,1967,False,,,[],,The American Wing,Coin,Two-and-a-Half Dollar Coin,,,,,,,,,,,,,,,,,,1909â€“27,1909,1927,Gold,Diam. 11/16 in. (1.7 cm),"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7463}}]","Gift of C. Ruxton Love Jr., 1967",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/9,,,False,
9,10,False,1979.486.3,1979,False,,,[],"[{'constituentID': 1080, 'role': 'Maker', 'name': 'Bela Lyon Pratt', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500095555', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q4881787', 'gender': ''}]",The American Wing,Coin,Two-and-a-half-dollar Indian Head Coin,,,,,,Maker,,Bela Lyon Pratt,1867â€“1917,,"Pratt, Bela Lyon",,1867,1917,,https://www.wikidata.org/wiki/Q4881787,http://vocab.getty.edu/page/ulan/500095555,1912,1912,1912,Gold,Dimensions unavailable,"[{'elementName': 'Other', 'elementDescription': 'Object diameter', 'elementMeasurements': {'Diameter': 1.7}}]","Gift of Heinz L. Stoppelmann, 1979",,,,,,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/10,,,False,
